"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (50,000 TO 99,999 $)","68","65.6"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (500,000 TO 999,999 $)","148","27.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","AG LAND","AG LAND, INCL BUILDINGS - OPERATIONS WITH ASSET VALUE","VALUE","VALUE: (LESS THAN 50,000 $)","29","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","ALPACAS","ALPACAS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","ALPACAS","ALPACAS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (1 TO 9 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (10 TO 19 HEAD)","821","38.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (100 TO 199 HEAD)","958","52.6"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (20 TO 49 HEAD)","1,128","25.1"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (200 TO 499 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (50 TO 99 HEAD)","1,091","38.5"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - INVENTORY","TOTAL","NOT SPECIFIED","4,751","29.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (1 TO 9 HEAD)","117","35.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (10 TO 19 HEAD)","64","38.2"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (100 TO 199 HEAD)","7","52.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (20 TO 49 HEAD)","36","25.8"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (200 TO 499 HEAD)","1","63.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, (EXCL COWS)","INVENTORY OF CATTLE, (EXCL COWS): (50 TO 99 HEAD)","16","43.0"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, (EXCL COWS) - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","241","20.8"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS - INVENTORY","TOTAL","NOT SPECIFIED","5,205","19.1"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","244","23.1"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (1 TO 9 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (10 TO 19 HEAD)","862","43.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (100 TO 199 HEAD)","1,042","57.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (20 TO 49 HEAD)","1,346","47.0"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (200 TO 499 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (50 TO 99 HEAD)","745","72.2"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - INVENTORY","TOTAL","NOT SPECIFIED","4,759","29.0"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (1 TO 9 HEAD)","106","41.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (10 TO 19 HEAD)","64","44.2"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (100 TO 199 HEAD)","8","56.3"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (20 TO 49 HEAD)","47","49.7"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (200 TO 499 HEAD)","1","10.7"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","INVENTORY OF BEEF COWS","INVENTORY OF BEEF COWS: (50 TO 99 HEAD)","12","68.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, BEEF - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","238","27.3"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1 TO 9 HEAD)","22","32.0"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (10 TO 19 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (20 TO 49 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (200 TO 499 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (50 TO 99 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - INVENTORY","TOTAL","NOT SPECIFIED","446","11.2"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (1 TO 9 HEAD)","12","31.8"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (10 TO 19 HEAD)","2","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (20 TO 49 HEAD)","2","14.3"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (200 TO 499 HEAD)","1","4.8"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","INVENTORY OF MILK COWS","INVENTORY OF MILK COWS: (50 TO 99 HEAD)","2","34.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, COWS, MILK - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","19","24.6"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (1 TO 9 HEAD)","453","45.6"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (10 TO 19 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (100 TO 199 HEAD)","2,610","47.8"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (20 TO 49 HEAD)","2,384","37.7"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (200 TO 499 HEAD)","1,342","50.8"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (50 TO 99 HEAD)","1,799","27.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (500 OR MORE HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","4,529","20.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - INVENTORY","TOTAL","NOT SPECIFIED","9,956","23.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (1 TO 9 HEAD)","96","42.7"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (10 TO 19 HEAD)","64","38.8"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (100 TO 199 HEAD)","21","46.6"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (20 TO 49 HEAD)","84","36.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (200 TO 499 HEAD)","5","50.6"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (50 TO 99 HEAD)","26","29.5"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE, INCL CALVES","INVENTORY OF CATTLE, INCL CALVES: (500 OR MORE HEAD)","1","61.2"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, INCL CALVES - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","297","20.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (1 TO 19 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (100 TO 199 HEAD)"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (20 TO 49 HEAD)","296","44.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (50 TO 99 HEAD)","320","69.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - INVENTORY","TOTAL","NOT SPECIFIED","954","72.0"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (1 TO 19 HEAD)","7","47.7"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (100 TO 199 HEAD)","2","80.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (20 TO 49 HEAD)","11","47.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - OPERATIONS WITH INVENTORY","INVENTORY OF CATTLE ON FEED","INVENTORY OF CATTLE ON FEED: (50 TO 99 HEAD)","5","69.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CATTLE","CATTLE, ON FEED - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","25","36.2"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, BROILERS - INVENTORY","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","242","31.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, BROILERS - INVENTORY","TOTAL","NOT SPECIFIED","3,878","27.9"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, BROILERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","16","73.8"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","1,217","12.4"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, LAYERS - INVENTORY","TOTAL","NOT SPECIFIED","1,857","7.2"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (1 TO 49 HEAD)","97","60.3"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (100 TO 399 HEAD)","1","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","INVENTORY","INVENTORY: (50 TO 99 HEAD)","3","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, LAYERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","101","54.5"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, PULLETS, REPLACEMENT - INVENTORY","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","115","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, PULLETS, REPLACEMENT - INVENTORY","TOTAL","NOT SPECIFIED","317","33.6"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, PULLETS, REPLACEMENT - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","17","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, ROOSTERS - INVENTORY","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","CHICKENS","CHICKENS, ROOSTERS - OPERATIONS WITH INVENTORY","TOTAL","NOT SPECIFIED","2","(H)"
"CENSUS","2017","END OF DEC","","COUNTY","INDIANA","18","SOUTHEAST","90","RIPLEY","137","","","00000000","","DUCKS","DUCKS - INVENTORY","TOTAL","NOT SPECIFIED","84","44.2"
